deity_name,deity_class,parent_1,parent_2,domain,main_powers,primary_mythic_arc,source_variant_note,teaching_measure_demo_only,teaching_label_demo_only,legacy_empty_demo_only
Tethys,Titan,Ouranos,Gaia,fresh water and nurture,Waters and lineage,Paired with Oceanus in the Titan genealogy,Hesiod's Theogony account.,13,Synthetic teaching record,
Hyperion,Titan,Ouranos,Gaia,heavenly light,Light and lineage,"Titan father of Helios, Selene, and Eos in Hesiod",Selected-source genealogy.,16,Synthetic teaching record,
Theia,TITAN,Ouranos,Gaia,sight and radiance,Light and lineage,"Mother of Helios, Selene, and Eos in Hesiod",Selected-source genealogy.,17,Synthetic teaching record,
Coeus,Titan,Ouranos,Gaia,heavenly inquiry,Titan lineage,Titan genealogy,"Domain is a teaching summary, not a quoted ancient taxonomy.",15,Synthetic teaching record,
Phoebe,Titan,Ouranos,Gaia,prophecy and radiance,Titan lineage,Titan genealogy; later linked with Delphi,Selected-source note limits this row to Hesiodic genealogy.,9,Synthetic teaching record,
Crius,Titan,Ouranos,Gaia,heavenly order,Titan lineage,Titan genealogy,Domain wording is a modern teaching summary.,18,Synthetic teaching record,
Iapetus,Titan,Ouranos,Gaia,mortality and lineage,Titan lineage,"Father of Atlas, Prometheus, Epimetheus, and Menoetius in Hesiod",Selected-source genealogy.,19,Synthetic teaching record,
Mnemosyne,Titan,Ouranos,Gaia,memory,Memory and the Muses,Mother of the Muses with Zeus in Hesiod,Selected-source genealogy.,12,Synthetic teaching record,
Themis,Titan,Ouranos,Gaia,custom and divine order,Counsel and order,Titaness associated with divine order,Domain is a concise teaching label.,13,Synthetic teaching record,
Prometheus,Titan,Iapetus,Clymene,forethought and craft,Fire and human affairs,Fire episode and conflict with Zeus,Parentage follows one Hesiodic account; variants exist.,21,Synthetic teaching record,
Atlas,Titan,Iapetus,Clymene,sky and endurance,Endurance,Punishment after the Titan conflict,Theogony summary; later imagery varies.,20,Synthetic teaching record,
Epimetheus,Titan,Iapetus,Clymene,afterthought,Human affairs,Pandora episode,Parentage follows one Hesiodic account.,18,Synthetic teaching record,
Zeus,Olympian,Cronus,Rhea,sky and sovereignty,"Thunder, rule",Overthrows Cronus and becomes ruler,Hesiodic arc summary; mythic traditions vary.,9999,Synthetic teaching record,
Hera,OLYMPIAN,Cronus,Rhea,marriage and queenship,Sovereignty and protection,Queen among the Olympians,Hesiodic genealogy; domains are summary labels.,24,Synthetic teaching record,
Poseidon,Olympian ,Cronus,Rhea,sea and earthquakes,"Sea, horses",Olympian division of power,Hesiodic and Homeric traditions summarized.,22,Synthetic teaching record,
Demeter,Olympian,Cronus,Rhea,grain and agriculture,Harvest and growth,Search for Persephone,Theogony genealogy; Homeric Hymn to Demeter for the arc.,26,Synthetic teaching record,
Hestia,Olympian,Cronus,Rhea,hearth and home,Hearth,Olympian hearth deity,Selected-source genealogy; domains are teaching summary.,19,Synthetic teaching record,
Hades,Underworld,Cronus,Rhea,underworld and the dead,Underworld rule,Ruler of the underworld in later mythic tradition,Hesiodic genealogy; status labels are modern grouping.,23,Synthetic teaching record,
Persephone,Underworld ,Zeus,Demeter,underworld and seasonal return,Underworld queen,Abduction and return in the Homeric Hymn to Demeter,Different ancient versions vary in details and emphasis.,27,Synthetic teaching record,
Athena,Olympian,Zeus,Metis,wisdom and craft,Strategy and crafts,Birth from Zeus after the swallowing of Metis,Hesiodic account; a concise summary of Theogony.,20,Synthetic teaching record,
Apollo,OLYMPIAN,Zeus,Leto,"music, prophecy, and healing",Prophecy and music,Delos birth and divine functions,Hesiodic genealogy; domains span multiple traditions.,22,Synthetic teaching record,
Artemis,Olympian,Zeus,Leto,hunting and wilderness,Hunt and protection,Delos birth and divine functions,Hesiodic genealogy; domains span multiple traditions.,18,Synthetic teaching record,
Ares,Olympian,Zeus,Hera,war,Battle,Olympian genealogy,Selected-source genealogy; domains are a teaching summary.,16,Synthetic teaching record,
Hephaestus,Olympian,,,fire and metalwork,Craft and forging,Hera bears Hephaestus in one Hesiodic account,Parentage differs across ancient traditions; this row flags the Hesiodic version.,15,Synthetic teaching record,
Aphrodite,Olympian,,,love and beauty,Desire and attraction,Foam-born origin in Hesiod's Theogony,Hesiod's account differs from other ancient traditions; parent fields intentionally left open.,21,Synthetic teaching record,
Hermes,Olympian,Zeus,Maia,"messages, travel, and exchange",Messenger and guide,Birth in the Homeric Hymn to Hermes,Theogony names Zeus and Maia; hymn gives the birth narrative.,24,Synthetic teaching record,
Dionysus,Olympian,Zeus,Semele,"wine, theatre, and ecstasy",Transformation and celebration,Birth from Zeus and Semele,Hesiodic genealogy; later traditions add details.,28,Synthetic teaching record,
Helios,Titan,Hyperion,Theia,sun,Solar light,Sun deity in the Titan genealogy,Hesiod names Helios as child of Hyperion and Theia.,17,Synthetic teaching record,
Selene,Titan,Hyperion,Theia,moon,Lunar light,Moon deity in the Titan genealogy,Hesiod names Selene as child of Hyperion and Theia.,14,Synthetic teaching record,
Eos,Titan,Hyperion,Theia,dawn,Dawn light,Dawn deity in the Titan genealogy,Hesiod names Eos as child of Hyperion and Theia.,11,Synthetic teaching record,
Hecate,Underworld,Perses,Asteria,crossroads and liminal spaces,Many-sided divine authority,Prominent divine honors in Hesiod,Role and later associations vary by source and period.,13,Synthetic teaching record,
Nike,Nature deity,Pallas,Styx,victory,Victory,Child of Styx and Pallas in Hesiod,Theogony genealogy.,8,Synthetic teaching record,
Iris,Nature deity,Thaumas,Electra,rainbow and messages,Divine messenger,Child of Thaumas and Electra in Hesiod,Theogony genealogy.,9,Synthetic teaching record,
Triton,Sea deity,Poseidon,Amphitrite,sea,Sea and marine heraldry,Child of Poseidon and Amphitrite,Hesiod's Theogony account.,12,Synthetic teaching record,
Pan,Nature Deity,Hermes,,wild places and herding,Pipes and rustic music,Homeric Hymn to Pan,Parentage varies; selected hymn names Hermes and a daughter of Dryops.,16,Synthetic teaching record,
Muses,Nature deity,Zeus,Mnemosyne,"poetry, song, and memory",Inspiration in the arts,Nine Muses born to Zeus and Mnemosyne,Hesiod's Theogony; collective entry for teaching purposes.,9999,Synthetic teaching record,
Muses,Nature deity,Zeus,Mnemosyne,"poetry, song, and memory",Inspiration in the arts,Nine Muses born to Zeus and Mnemosyne,Hesiod's Theogony; collective entry for teaching purposes.,9999,Synthetic teaching record,
